2023-12-28T11:23:56.059+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\mappers\TrackMapperImpl.class]
2023-12-28T11:23:56.064+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\mappers\TrackReplyLikeMapperImpl.class]
2023-12-28T11:23:56.070+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\mappers\TrackReplyMapperImpl.class]
2023-12-28T11:23:56.082+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\mappers\TrackTagMapperImpl.class]
2023-12-28T11:23:56.104+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\MemberDAO.class]
2023-12-28T11:23:56.129+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\AccountService.class]
2023-12-28T11:23:56.130+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\AlbumService.class]
2023-12-28T11:23:56.134+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\AlbumTagListService.class]
2023-12-28T11:23:56.141+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\AnnounceService.class]
2023-12-28T11:23:56.141+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\CurrentPlayListService.class]
2023-12-28T11:23:56.141+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\DashboardService.class]
2023-12-28T11:23:56.141+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\FollowService.class]
2023-12-28T11:23:56.141+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\LikeService.class]
2023-12-28T11:23:56.141+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\MemberService.class]
2023-12-28T11:23:56.143+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\MusicTagService.class]
2023-12-28T11:23:56.143+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\PlaylistService.class]
2023-12-28T11:23:56.151+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\QnaAnswerService.class]
2023-12-28T11:23:56.159+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\QnaService.class]
2023-12-28T11:23:56.159+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\ReportAnswerService.class]
2023-12-28T11:23:56.159+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\ReportService.class]
2023-12-28T11:23:56.159+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\SanctionService.class]
2023-12-28T11:23:56.161+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\TrackImageService.class]
2023-12-28T11:23:56.161+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\TrackReplyLikeService.class]
2023-12-28T11:23:56.161+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\TrackReplyService.class]
2023-12-28T11:23:56.161+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\TrackService.class]
2023-12-28T11:23:56.161+09:00 DEBUG 12548 --- [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\services\TrackTagService.class]
2023-12-28T11:23:56.289+09:00 DEBUG 12548 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2023-12-28T11:23:56.290+09:00 DEBUG 12548 --- [restartedMain] o.s.b.a.AutoConfigurationPackages        : @EnableAutoConfiguration was declared on a class in the package 'com.kdt'. Automatic @Repository and @Entity scanning is enabled.
2023-12-28T11:23:56.290+09:00 DEBUG 12548 --- [restartedMain] o.m.s.b.a.MybatisAutoConfiguration       : Searching for mappers annotated with @Mapper
2023-12-28T11:23:56.290+09:00 DEBUG 12548 --- [restartedMain] o.m.s.b.a.MybatisAutoConfiguration       : Using auto-configuration base package 'com.kdt'
2023-12-28T11:23:56.300+09:00  INFO 12548 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-12-28T11:23:56.300+09:00 DEBUG 12548 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Scanning for JPA repositories in packages com.kdt.
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\AccountRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\AlbumRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\AlbumTagListRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\AlbumTagRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\AlbumWriterRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\AnnounceRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\CurrentPlayListRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\DailyStreamingRepository.class]
2023-12-28T11:23:56.308+09:00 DEBUG 12548 --- [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\kwon\Documents\3rd\spring\target\classes\com\kdt\repositories\DailyVisitRepository.class]
